search_term,app_name,bundle_id,developer_name,developer_url,support_url,genre,rating,track_view_url
bank,Bank of America Mobile Banking,com.bankofamerica.BofA,Bank of America,,,Finance,4.81353,https://apps.apple.com/us/app/bank-of-america-mobile-banking/id284847138?uo=4
bank,Chase Mobile®: Bank & Invest,com.chase,"JPMorgan Chase Bank, NA",https://www.chase.com/online/services/mobile-banking.htm,,Finance,4.84143,https://apps.apple.com/us/app/chase-mobile-bank-invest/id298867247?uo=4
bank,Chime – Mobile Banking,com.1debit.ChimeProdApp,"Chime Financial, Inc.",http://www.chime.com/,,Finance,4.8234,https://apps.apple.com/us/app/chime-mobile-banking/id836215269?uo=4
bank,Capital One Mobile,com.capitalone.enterprisemobilebanking,"Capital One Services, LLC",https://www.capitalone.com/applications/mobile/,,Finance,4.85044,https://apps.apple.com/us/app/capital-one-mobile/id407558537?uo=4
bank,Wells Fargo Mobile®,com.wf.mobilebanking,Wells Fargo Bank,https://www.wellsfargo.com/mobile,,Finance,4.85744,https://apps.apple.com/us/app/wells-fargo-mobile/id311548709?uo=4
bank,Current - Mobile Banking,com.current.currentapp,"Finco Services, Inc.",https://current.com,,Finance,4.7736,https://apps.apple.com/us/app/current-mobile-banking/id1077366211?uo=4
bank,Citi Mobile®,com.citigroup.citimobile,"Citibank, N.A.",http://www.citibank.com,,Finance,4.88026,https://apps.apple.com/us/app/citi-mobile/id301724680?uo=4
bank,U.S. Bank Mobile Banking,com.usbank.icmobilebanking,U.S. Bancorp,http://usbank.com/mobile,,Finance,4.79704,https://apps.apple.com/us/app/u-s-bank-mobile-banking/id458734623?uo=4
bank,Varo Bank: Online Banking,com.varomoney.VaroBank,"Varo Money, Inc.",https://www.varomoney.com,,Finance,4.86391,https://apps.apple.com/us/app/varo-bank-online-banking/id1517676784?uo=4
bank,PNC Mobile Banking,com.pnc.pncmobile,"PNC Bank, N.A.",https://www.pnc.com/en/customer-service/mobile-app-directory.html,,Finance,4.85267,https://apps.apple.com/us/app/pnc-mobile-banking/id303113127?uo=4
bank,Navy Federal Credit Union,org.navyfederal.nfcuforiphone,Navy Federal Credit Union,https://www.navyfederal.org/services/mobile-online-banking.html,,Finance,4.88745,https://apps.apple.com/us/app/navy-federal-credit-union/id370811491?uo=4
bank,"SoFi: Bank, Invest & Crypto",com.sofi.mobile,"Social Finance, LLC",https://www.sofi.com,,Finance,4.74998,https://apps.apple.com/us/app/sofi-bank-invest-crypto/id1191985736?uo=4
bank,TD Bank (US),com.tdbank.iphoneapp,"TD Bank, N.A.",http://www.tdbank.com,,Finance,4.81112,https://apps.apple.com/us/app/td-bank-us/id382107453?uo=4
bank,Venmo,net.kortina.labs.Venmo,"The Delancey Corporation, LLC",https://venmo.com/,,Finance,4.85218,https://apps.apple.com/us/app/venmo/id351727428?uo=4
bank,Discover Mobile,com.discoverfinancial.mobile,Discover Financial Services,http://www.discover.com/mobile,,Finance,4.86045,https://apps.apple.com/us/app/discover-mobile/id338010821?uo=4
bank,"PayPal - Pay, Send, Save",com.yourcompany.PPClient,"PayPal, Inc.",https://www.paypal.com/mobile,,Finance,4.78277,https://apps.apple.com/us/app/paypal-pay-send-save/id283646709?uo=4
bank,GO2bank: Mobile banking,com.greendotcorp.go2bank,Green Dot Corporation,https://www.GO2bank.com,,Finance,4.76998,https://apps.apple.com/us/app/go2bank-mobile-banking/id1534345772?uo=4
bank,Robinhood Banking,com.robinhood.release.Money,Robinhood Markets Inc,https://robinhood.com,,Finance,4.93884,https://apps.apple.com/us/app/robinhood-banking/id6462308655?uo=4
bank,OnePay – Mobile Banking,com.onefinance.one,"One Finance, Inc.",https://onepay.com,,Finance,4.85412,https://apps.apple.com/us/app/onepay-mobile-banking/id1494523953?uo=4
bank,Cash App,com.squareup.cash,"Block, Inc.",https://cash.app,,Finance,4.79157,https://apps.apple.com/us/app/cash-app/id711923939?uo=4
bank,Truist Mobile,com.truistmobile.truist,Truist Financial Corporation,,,Finance,4.79981,https://apps.apple.com/us/app/truist-mobile/id1555389200?uo=4
bank,Amex,com.americanexpress.amexservice,American Express,http://www.americanexpress.com/mobile,,Finance,4.88114,https://apps.apple.com/us/app/amex/id362348516?uo=4
bank,"Revolut: Send, spend and save",com.revolut.revolut,Revolut Ltd,https://revolut.com,,Finance,4.71073,https://apps.apple.com/us/app/revolut-send-spend-and-save/id932493382?uo=4
bank,Huntington Mobile Banking,com.huntington.m,"The Huntington National Bank, Inc",https://www.huntington.com,,Finance,4.83478,https://apps.apple.com/us/app/huntington-mobile-banking/id441599004?uo=4
bank,Credit One Bank Mobile,com.creditonebank.mobile,"Credit One Bank, National Association",https://www.creditonebank.com,,Finance,4.77027,https://apps.apple.com/us/app/credit-one-bank-mobile/id1128712763?uo=4
bank,N26 — Love your bank,de.no26.Number26,N26 AG,https://n26.com/en-eu?utm_source=appstore&utm_medium=description,,Finance,4.63739,https://apps.apple.com/us/app/n26-love-your-bank/id956857223?uo=4
bank,Monzo - Mobile Banking,io.b2a.BankProd,Monzo Bank Limited,https://monzo.com/usa/,,Finance,4.75234,https://apps.apple.com/us/app/monzo-mobile-banking/id1052238659?uo=4
bank,"Ally: Bank, Auto & Invest",com.ally.MobileBanking,Ally Financial Inc.,http://www.ally.com/,,Finance,4.65798,https://apps.apple.com/us/app/ally-bank-auto-invest/id514374715?uo=4
bank,Citizens Bank Mobile Banking,com.CitizensBank.MobileBankingApp,"Citizens Bank, N.A.",http://www.citizensbank.com/online-and-mobile-banking/apps.aspx,,Finance,4.75196,https://apps.apple.com/us/app/citizens-bank-mobile-banking/id388082488?uo=4
bank,Fifth Third: 53 Mobile Banking,com.clairmail.fth.client,FifthThird Bank,,,Finance,4.75709,https://apps.apple.com/us/app/fifth-third-53-mobile-banking/id468738585?uo=4
bank,"Dave: Credit, Cash & Money App",com.trydave.dave,"Dave, Inc",https://dave.com,,Finance,4.78899,https://apps.apple.com/us/app/dave-credit-cash-money-app/id1193801909?uo=4
bank,Step: Bank and Build Credit,com.step.step,Step Mobile Inc,https://step.com,,Finance,4.74234,https://apps.apple.com/us/app/step-bank-and-build-credit/id1438006983?uo=4
bank,KeyBank Mobile Banking,com.keybank.mobile,KeyBank National Association,,,Finance,4.71997,https://apps.apple.com/us/app/keybank-mobile-banking/id510717503?uo=4
bank,Albert: Budgeting and Banking,com.albert.Albert,Albert Corporation,https://albert.com/,,Finance,4.63698,https://apps.apple.com/us/app/albert-budgeting-and-banking/id1057771088?uo=4
bank,BMO Digital Banking,com.fis.071025661SUB,BMO Bank National Association,https://www.bmo.com/en-us/main/personal/,,Finance,4.76903,https://apps.apple.com/us/app/bmo-digital-banking/id538891526?uo=4
bank,MAJORITY: Mobile banking,com.majority.Majority,"Majority USA, LLC",https://majority.com/en,,Finance,4.89998,https://apps.apple.com/us/app/majority-mobile-banking/id1458589760?uo=4
